KEY                              ORT FİYAT  ORt KM      TOP ILAN   

civic - 2007
Dream                           42163       146661      102/108    
Sport                           40618       170179      39/41      
Executive                       42833       149666      3/3        
Type-S                          41890       197200      5/5        
Premium                         43613       160402      86/90      
Elegance                        45900       158139      183/190    
ES                              43675       148500      2/2        
benzin-lpg,benzin               43954       157672      420/439    
otomatik,yari-otomatik          44477       160451      259/273    
manuel                          43109       153162      161/166    

civic - 2008
Dream                           43135       141179      73/79      
Sport                           42054       151473      40/43      
Executive                       48900       145000      1/1        
Type-S                          45958       141400      6/6        
Premium                         45242       136444      102/105    
Type-R                          74415       103060      10/10      
Elegance                        47910       146758      165/168    
benzin-lpg,benzin               45675       142171      397/412    
otomatik,yari-otomatik          46105       145959      239/248    
manuel                          44979       136391      158/164    

civic - 2009
Dream                           45022       118836      49/52      
Sport                           45343       114900      15/16      
Executive                       50500       114000      2/2        
Type-S                          49625       132333      3/3        
Hybrid                          43999       123000      1/1        
Premium                         47382       119852      78/79      
Type-R                          69900       120000      1/1        
Elegance                        50808       134437      120/120    
ES                              27500       280000      1/1        
benzin-lpg,benzin               48336       126005      270/275    
otomatik,yari-otomatik          49083       128172      162/164    
manuel                          47184       122725      108/111    

civic - 2010
Dream                           47680       109045      57/57      
Sport                           47945       89076       11/11      
Premium                         51611       94803       77/77      
Type-R                          71750       103000      1/1        
Elegance                        54484       107283      167/167    
ES                              52250       94000       2/2        
benzin-lpg,benzin               52301       104183      315/315    
otomatik,yari-otomatik          53063       102454      166/166    
manuel                          51447       106109      149/149    

civic - 2011
Dream                           48267       112343      23/23      
Sport                           48486       89861       15/15      
Comfort                         45750       102000      1/1        
Premium                         53183       91761       125/125    
Elegance                        56393       95241       211/211    
ES                              48250       91350       1/1        
benzin-lpg,benzin               54464       94931       376/376    
otomatik,yari-otomatik          54788       97478       242/242    
manuel                          53877       89409       134/134    

civic - 2012
Dream                           56679       71106       24/24      
Sport                           50655       70892       9/9        
Comfort                         52333       62500       4/4        
Premium                         58289       72061       101/101    
Elegance                        61971       78604       357/357    
diger                           65000       61000       1/1        
ES                              57000       87700       3/3        
benzin-lpg,benzin               60658       77143       499/499    
otomatik,yari-otomatik          61295       80966       318/318    
manuel                          59642       70410       181/181    

civic - 2013
Dream                           56963       80421       15/15      
Sport                           57373       66616       32/32      
Comfort                         59603       69753       13/13      
Premium                         61273       65768       55/55      
Elegance                        66176       63880       203/203    
dizel                           60456       76626       28/28      
benzin-lpg,benzin               64077       64759       290/290    
otomatik,yari-otomatik          65548       65403       190/190    
manuel                          61188       66405       128/128    

civic - 2014
Dream                           61500       59015       2/2        
Sport                           65487       54375       4/4        
Executive                       71834       43689       19/19      
Comfort                         71250       18250       2/2        
Premium                         66189       41195       48/48      
Elegance                        69757       44168       196/196    
dizel                           69740       37400       5/5        
